Year,Month,Country,Production Type,Installed Capacity (MW),Total Grand Capacity (MW)
2023,,GR,Fossil Peat,n/e,
2023,,GR,Geothermal,0,
2023,,GR,Hydro Pumped Storage,699,
2023,,GR,Hydro Run-of-river and pondage,321,
2023,,GR,Hydro Water Reservoir,2403,
2023,,GR,Marine,n/e,
2023,,GR,Nuclear,n/e,
2023,,GR,Other,n/e,
2023,,GR,Other renewable,120,
2023,,GR,Solar,5100,
2023,,GR,Waste,n/e,
2023,,GR,Wind Offshore,n/e,
2023,,GR,Wind Onshore,4547,
2023,,GR,,,21997
2024,,GR,Biomass,120,
2024,,GR,Energy storage,n/e,
2024,,GR,Fossil Brown coal/Lignite,2650,
2024,,GR,Fossil Coal-derived gas,n/e,
2024,,GR,Fossil Gas,6030,
2024,,GR,Fossil Hard coal,n/e,
2024,,GR,Fossil Oil,0,
2024,,GR,Fossil Oil shale,n/e,
2024,,GR,Fossil Peat,n/e,
2024,,GR,Geothermal,0,
2024,,GR,Hydro Pumped Storage,699,
2024,,GR,Hydro Run-of-river and pondage,327,
2024,,GR,Hydro Water Reservoir,2403,
2024,,GR,Marine,n/e,
2024,,GR,Nuclear,n/e,
2024,,GR,Other,n/e,
2024,,GR,Other renewable,128,
2024,,GR,Solar,6700,
2024,,GR,Waste,n/e,
2024,,GR,Wind Offshore,n/e,
2024,,GR,Wind Onshore,5065,
2024,,GR,,,24122
2025,,GR,Biomass,146,
2025,,GR,Energy storage,n/e,
2025,,GR,Fossil Brown coal/Lignite,1800,
2025,,GR,Fossil Coal-derived gas,n/e,
2025,,GR,Fossil Gas,6030,
2025,,GR,Fossil Hard coal,n/e,
2025,,GR,Fossil Oil,0,
2025,,GR,Fossil Oil shale,n/e,
2025,,GR,Fossil Peat,n/e,
2025,,GR,Geothermal,0,
2025,,GR,Hydro Pumped Storage,699,
2025,,GR,Hydro Run-of-river and pondage,305,
2025,,GR,Hydro Water Reservoir,2403,
2025,,GR,Marine,n/e,
2025,,GR,Nuclear,n/e,
2025,,GR,Other,n/e,
2025,,GR,Other renewable,132,
2025,,GR,Solar,9000,
2025,,GR,Waste,n/e,
2025,,GR,Wind Offshore,n/e,
2025,,GR,Wind Onshore,5225,
2025,,GR,,,25740
2023,,BG,Biomass,74,
2023,,BG,Energy storage,n/e,
2023,,BG,Fossil Brown coal/Lignite,4119,
2023,,BG,Fossil Coal-derived gas,0,
2023,,BG,Fossil Gas,695,
2023,,BG,Fossil Hard coal,356,
2023,,BG,Fossil Oil,0,
2023,,BG,Fossil Oil shale,0,
2023,,BG,Fossil Peat,0,
2023,,BG,Geothermal,0,
2023,,BG,Hydro Pumped Storage,864,
2023,,BG,Hydro Run-of-river and pondage,542,
2023,,BG,Hydro Water Reservoir,1810,
2023,,BG,Marine,0,
2023,,BG,Nuclear,2080,
2023,,BG,Other,0,
2023,,BG,Other renewable,0,
2023,,BG,Solar,3092,
2023,,BG,Waste,6,
2023,,BG,Wind Offshore,0,
2023,,BG,Wind Onshore,705,
2023,,BG,,,14343
2024,,BG,Biomass,74,
2024,,BG,Energy storage,n/e,
2024,,BG,Fossil Brown coal/Lignite,4119,
2024,,BG,Fossil Coal-derived gas,0,
2024,,BG,Fossil Gas,723,
2024,,BG,Fossil Hard coal,356,
2024,,BG,Fossil Oil,0,
2024,,BG,Fossil Oil shale,0,
2024,,BG,Fossil Peat,0,
2024,,BG,Geothermal,0,
2024,,BG,Hydro Pumped Storage,864,
2024,,BG,Hydro Run-of-river and pondage,540,
2024,,BG,Hydro Water Reservoir,1807,
2024,,BG,Marine,0,
2024,,BG,Nuclear,2080,
2024,,BG,Other,0,
2024,,BG,Other renewable,0,
2024,,BG,Solar,4568,
2024,,BG,Waste,6,
2024,,BG,Wind Offshore,0,
2024,,BG,Wind Onshore,711,
2024,,BG,,,15848
2025,,BG,Biomass,57,
2025,,BG,Energy storage,1382,
2025,,BG,Fossil Brown coal/Lignite,4119,
2025,,BG,Fossil Coal-derived gas,0,
2025,,BG,Fossil Gas,730,
2025,,BG,Fossil Hard coal,336,
2025,,BG,Fossil Oil,0,
2025,,BG,Fossil Oil shale,0,
2025,,BG,Fossil Peat,0,
2025,,BG,Geothermal,0,
2025,,BG,Hydro Pumped Storage,864,
2025,,BG,Hydro Run-of-river and pondage,547,
2025,,BG,Hydro Water Reservoir,1807,
2025,,BG,Marine,0,
2025,,BG,Nuclear,2000,
2025,,BG,Other,0,
2025,,BG,Other renewable,0,
2025,,BG,Solar,6104,
2025,,BG,Waste,6,
2025,,BG,Wind Offshore,0,
2025,,BG,Wind Onshore,715,
2025,,BG,,,18667
2023,,FR,Biomass,1342.69,
2023,,FR,Energy storage,n/e,
2023,,FR,Fossil Brown coal/Lignite,n/e,
2023,,FR,Fossil Coal-derived gas,n/e,
2023,,FR,Fossil Gas,12892.82,
2023,,FR,Fossil Hard coal,1815.81,
2023,,FR,Fossil Oil,2565.78,
2023,,FR,Fossil Oil shale,n/e,
2023,,FR,Fossil Peat,n/e,
2023,,FR,Geothermal,1.85,
2023,,FR,Hydro Pumped Storage,5051.05,
2023,,FR,Hydro Run-of-river and pondage,11695.29,
2023,,FR,Hydro Water Reservoir,8787.34,
2023,,FR,Marine,242.81,
2023,,FR,Nuclear,61370,
2023,,FR,Other,1145.23,
2023,,FR,Other renewable,n/e,
2023,,FR,Solar,14638.79,
2023,,FR,Waste,928.77,
2023,,FR,Wind Offshore,493.5,
2023,,FR,Wind Onshore,20841.9,
2023,,FR,,,143813.63
2024,,FR,Biomass,1407.73,
2024,,FR,Energy storage,n/e,
2024,,FR,Fossil Brown coal/Lignite,n/e,
2024,,FR,Fossil Coal-derived gas,n/e,
2024,,FR,Fossil Gas,12768.21,
2024,,FR,Fossil Hard coal,1810.71,
2024,,FR,Fossil Oil,2970.89,
2024,,FR,Fossil Oil shale,n/e,
2024,,FR,Fossil Peat,n/e,
2024,,FR,Geothermal,1.85,
2024,,FR,Hydro Pumped Storage,5060.73,
2024,,FR,Hydro Run-of-river and pondage,11705.69,
2024,,FR,Hydro Water Reservoir,8791.12,
2024,,FR,Marine,243.09,
2024,,FR,Nuclear,61370,
2024,,FR,Other,802.47,
2024,,FR,Other renewable,n/e,
2024,,FR,Solar,17794.87,
2024,,FR,Waste,1033.37,
2024,,FR,Wind Offshore,1003,
2024,,FR,Wind Onshore,21701.13,
2024,,FR,,,148464.87
2025,,FR,Biomass,1412.68,
2025,,FR,Energy storage,n/e,
2025,,FR,Fossil Brown coal/Lignite,n/e,
2025,,FR,Fossil Coal-derived gas,n/e,
2025,,FR,Fossil Gas,12787.69,
2025,,FR,Fossil Hard coal,1810.72,
2025,,FR,Fossil Oil,2978.9,
2025,,FR,Fossil Oil shale,n/e,
2025,,FR,Fossil Peat,n/e,
2025,,FR,Geothermal,1.85,
2025,,FR,Hydro Pumped Storage,5060.78,
2025,,FR,Hydro Run-of-river and pondage,11737.05,
2025,,FR,Hydro Water Reservoir,8791.12,
2025,,FR,Marine,243.09,
2025,,FR,Nuclear,62990,
2025,,FR,Other,1022.96,
2025,,FR,Other renewable,n/e,
2025,,FR,Solar,22860.04,
2025,,FR,Waste,1062.74,
2025,,FR,Wind Offshore,1028.2,
2025,,FR,Wind Onshore,22907.07,
2025,,FR,,,156694.9
2023,,ES,Biomass,707.1,
2023,,ES,Energy storage,n/e,
2023,,ES,Fossil Brown coal/Lignite,0,
2023,,ES,Fossil Coal-derived gas,0,
2023,,ES,Fossil Gas,29902.6,
2023,,ES,Fossil Hard coal,3222.6,
2023,,ES,Fossil Oil,669.7,
2023,,ES,Fossil Oil shale,0,
2023,,ES,Fossil Peat,0,
2023,,ES,Geothermal,0,
2023,,ES,Hydro Pumped Storage,3417.5,
2023,,ES,Hydro Run-of-river and pondage,1154.8,
2023,,ES,Hydro Water Reservoir,15772.7,
2023,,ES,Marine,0,
2023,,ES,Nuclear,7117.2,
2023,,ES,Other,118.4,
2023,,ES,Other renewable,284.9,
2023,,ES,Solar,18522.5,
2023,,ES,Waste,545.9,
2023,,ES,Wind Offshore,0,
2023,,ES,Wind Onshore,29320.4,
2023,,ES,,,110756.3
2024,,ES,Biomass,707.5,
2024,,ES,Energy storage,n/e,
2024,,ES,Fossil Brown coal/Lignite,0,
2024,,ES,Fossil Coal-derived gas,0,
2024,,ES,Fossil Gas,29872.8,
2024,,ES,Fossil Hard coal,3222.6,
2024,,ES,Fossil Oil,703.7,
2024,,ES,Fossil Oil shale,0,
2024,,ES,Fossil Peat,0,
2024,,ES,Geothermal,0,
2024,,ES,Hydro Pumped Storage,3417.5,
2024,,ES,Hydro Run-of-river and pondage,1154.8,
2024,,ES,Hydro Water Reservoir,15771.4,
2024,,ES,Marine,0,
2024,,ES,Nuclear,7117.2,
2024,,ES,Other,122.2,
2024,,ES,Other renewable,286.9,
2024,,ES,Solar,23867.3,
2024,,ES,Waste,545.9,
2024,,ES,Wind Offshore,0,
2024,,ES,Wind Onshore,30159.3,
2024,,ES,,,116949.1
2025,,ES,Biomass,709.1,
2025,,ES,Energy storage,N/A,
2025,,ES,Fossil Brown coal/Lignite,0,
2025,,ES,Fossil Coal-derived gas,0,
2025,,ES,Fossil Gas,29943.3,
2025,,ES,Fossil Hard coal,1819.7,
2025,,ES,Fossil Oil,672.2,
2025,,ES,Fossil Oil shale,0,
2025,,ES,Fossil Peat,0,
2025,,ES,Geothermal,0,
2025,,ES,Hydro Pumped Storage,3417.5,
2025,,ES,Hydro Run-of-river and pondage,1154.2,
2025,,ES,Hydro Water Reservoir,15764.6,
2025,,ES,Marine,0,
2025,,ES,Nuclear,7117.2,
2025,,ES,Other,129.6,
2025,,ES,Other renewable,620.7,
2025,,ES,Solar,29047,
2025,,ES,Waste,545.9,
2025,,ES,Wind Offshore,0,
2025,,ES,Wind Onshore,30931.9,
2025,,ES,,,121872.9
2023,,IT,Biomass,1534,
2023,,IT,Energy storage,n/e,
2023,,IT,Fossil Brown coal/Lignite,0,
2023,,IT,Fossil Coal-derived gas,2072,
2023,,IT,Fossil Gas,44215,
2023,,IT,Fossil Hard coal,5576,
2023,,IT,Fossil Oil,1543,
2023,,IT,Fossil Oil shale,n/e,
2023,,IT,Fossil Peat,0,
2023,,IT,Geothermal,869,
2023,,IT,Hydro Pumped Storage,7256,
2023,,IT,Hydro Run-of-river and pondage,10553,
2023,,IT,Hydro Water Reservoir,4440,
2023,,IT,Marine,0,
2023,,IT,Nuclear,n/e,
2023,,IT,Other,853,
2023,,IT,Other renewable,0,
2023,,IT,Solar,5431,
2023,,IT,Waste,120,
2023,,IT,Wind Offshore,30,
2023,,IT,Wind Onshore,11204,
2023,,IT,,,95696
2024,,IT,Biomass,1543,
2024,,IT,Energy storage,n/e,
2024,,IT,Fossil Brown coal/Lignite,0,
2024,,IT,Fossil Coal-derived gas,2071,
2024,,IT,Fossil Gas,45157,
2024,,IT,Fossil Hard coal,5583,
2024,,IT,Fossil Oil,1564,
2024,,IT,Fossil Oil shale,n/e,
2024,,IT,Fossil Peat,0,
2024,,IT,Geothermal,868,
2024,,IT,Hydro Pumped Storage,7256,
2024,,IT,Hydro Run-of-river and pondage,10291,
2024,,IT,Hydro Water Reservoir,4542,
2024,,IT,Marine,0,
2024,,IT,Nuclear,n/e,
2024,,IT,Other,334,
2024,,IT,Other renewable,1,
2024,,IT,Solar,5927,
2024,,IT,Waste,670,
2024,,IT,Wind Offshore,30,
2024,,IT,Wind Onshore,11651,
2024,,IT,,,97488
2025,,IT,Biomass,1539,
2025,,IT,Energy storage,n/e,
2025,,IT,Fossil Brown coal/Lignite,0,
2025,,IT,Fossil Coal-derived gas,2076,
2025,,IT,Fossil Gas,45549,
2025,,IT,Fossil Hard coal,5227,
2025,,IT,Fossil Oil,1548,
2025,,IT,Fossil Oil shale,n/e,
2025,,IT,Fossil Peat,0,
2025,,IT,Geothermal,868,
2025,,IT,Hydro Pumped Storage,7245,
2025,,IT,Hydro Run-of-river and pondage,10317,
2025,,IT,Hydro Water Reservoir,4548,
2025,,IT,Marine,0,
2025,,IT,Nuclear,n/e,
2025,,IT,Other,437,
2025,,IT,Other renewable,1,
2025,,IT,Solar,8922,
2025,,IT,Waste,671,
2025,,IT,Wind Offshore,30,
2025,,IT,Wind Onshore,12233,
2025,,IT,,,101211
2023,,AT,Biomass,482,
2023,,AT,Energy storage,n/e,
2023,,AT,Fossil Brown coal/Lignite,0,
2023,,AT,Fossil Coal-derived gas,0,
2023,,AT,Fossil Gas,4206.12,
2023,,AT,Fossil Hard coal,0,
2023,,AT,Fossil Oil,120,
2023,,AT,Fossil Oil shale,0,
2023,,AT,Fossil Peat,0,
2023,,AT,Geothermal,0,
2023,,AT,Hydro Pumped Storage,3362.5,
2023,,AT,Hydro Run-of-river and pondage,5902.03,
2023,,AT,Hydro Water Reservoir,2770.53,
2023,,AT,Marine,0,
2023,,AT,Nuclear,0,
2023,,AT,Other,845.24,
2023,,AT,Other renewable,0,
2023,,AT,Solar,3265.3,
2023,,AT,Waste,103,
2023,,AT,Wind Offshore,0,
2023,,AT,Wind Onshore,3568.82,
2023,,AT,,,24625.54
2024,,AT,Biomass,549,
2024,,AT,Energy storage,n/e,
2024,,AT,Fossil Brown coal/Lignite,0,
2024,,AT,Fossil Coal-derived gas,0,
2024,,AT,Fossil Gas,4225,
2024,,AT,Fossil Hard coal,0,
2024,,AT,Fossil Oil,125,
2024,,AT,Fossil Oil shale,0,
2024,,AT,Fossil Peat,0,
2024,,AT,Geothermal,0.25,
2024,,AT,Hydro Pumped Storage,3485,
2024,,AT,Hydro Run-of-river and pondage,5817,
2024,,AT,Hydro Water Reservoir,2519,
2024,,AT,Marine,0,
2024,,AT,Nuclear,0,
2024,,AT,Other,879,
2024,,AT,Other renewable,0,
2024,,AT,Solar,7294,
2024,,AT,Waste,80,
2024,,AT,Wind Offshore,0,
2024,,AT,Wind Onshore,4021,
2024,,AT,,,28994.25
2025,,AT,Biomass,549,
2025,,AT,Energy storage,n/e,
2025,,AT,Fossil Brown coal/Lignite,0,
2025,,AT,Fossil Coal-derived gas,0,
2025,,AT,Fossil Gas,4225,
2025,,AT,Fossil Hard coal,0,
2025,,AT,Fossil Oil,125,
2025,,AT,Fossil Oil shale,0,
2025,,AT,Fossil Peat,0,
2025,,AT,Geothermal,0,
2025,,AT,Hydro Pumped Storage,3512,
2025,,AT,Hydro Run-of-river and pondage,5895,
2025,,AT,Hydro Water Reservoir,2532,
2025,,AT,Marine,0,
2025,,AT,Nuclear,0,
2025,,AT,Other,855,
2025,,AT,Other renewable,0,
2025,,AT,Solar,8254,
2025,,AT,Waste,128,
2025,,AT,Wind Offshore,0,
2025,,AT,Wind Onshore,4035,
2025,,AT,,,30110
2023,,PL,Biomass,663.6,
2023,,PL,Energy storage,n/e,
2023,,PL,Fossil Brown coal/Lignite,7559.73,
2023,,PL,Fossil Coal-derived gas,281.32,
2023,,PL,Fossil Gas,3786.34,
2023,,PL,Fossil Hard coal,19008.15,
2023,,PL,Fossil Oil,392.54,
2023,,PL,Fossil Oil shale,n/e,
2023,,PL,Fossil Peat,n/e,
2023,,PL,Geothermal,n/e,
2023,,PL,Hydro Pumped Storage,1591.21,
2023,,PL,Hydro Run-of-river and pondage,323.01,
2023,,PL,Hydro Water Reservoir,468.57,
2023,,PL,Marine,n/e,
2023,,PL,Nuclear,n/e,
2023,,PL,Other,1519.67,
2023,,PL,Other renewable,n/e,
2023,,PL,Solar,10643.2,
2023,,PL,Waste,n/e,
2023,,PL,Wind Offshore,n/e,
2023,,PL,Wind Onshore,8977.73,
2023,,PL,,,55215.07
2024,,PL,Biomass,662.3,
2024,,PL,Energy storage,n/e,
2024,,PL,Fossil Brown coal/Lignite,7557,
2024,,PL,Fossil Coal-derived gas,273.61,
2024,,PL,Fossil Gas,5162.38,
2024,,PL,Fossil Hard coal,18830.51,
2024,,PL,Fossil Oil,392.54,
2024,,PL,Fossil Oil shale,n/e,
2024,,PL,Fossil Peat,n/e,
2024,,PL,Geothermal,n/e,
2024,,PL,Hydro Pumped Storage,1588.81,
2024,,PL,Hydro Run-of-river and pondage,320.69,
2024,,PL,Hydro Water Reservoir,467.8,
2024,,PL,Marine,n/e,
2024,,PL,Nuclear,n/e,
2024,,PL,Other,1642.76,
2024,,PL,Other renewable,n/e,
2024,,PL,Solar,14608.7,
2024,,PL,Waste,n/e,
2024,,PL,Wind Offshore,n/e,
2024,,PL,Wind Onshore,9582.93,
2024,,PL,,,61090.03
2025,,PL,Biomass,636.39,
2025,,PL,Energy storage,n/e,
2025,,PL,Fossil Brown coal/Lignite,6951,
2025,,PL,Fossil Coal-derived gas,469.86,
2025,,PL,Fossil Gas,5341.06,
2025,,PL,Fossil Hard coal,18543.87,
2025,,PL,Fossil Oil,392.54,
2025,,PL,Fossil Oil shale,n/e,
2025,,PL,Fossil Peat,n/e,
2025,,PL,Geothermal,n/e,
2025,,PL,Hydro Pumped Storage,1524.77,
2025,,PL,Hydro Run-of-river and pondage,322.04,
2025,,PL,Hydro Water Reservoir,467.88,
2025,,PL,Marine,n/e,
2025,,PL,Nuclear,n/e,
2025,,PL,Other,1737.99,
2025,,PL,Other renewable,n/e,
2025,,PL,Solar,17815.73,
2025,,PL,Waste,n/e,
2025,,PL,Wind Offshore,n/e,
2025,,PL,Wind Onshore,10299.32,
2025,,PL,,,64502.45
2023,,HR,Biomass,114,
2023,,HR,Energy storage,n/e,
2023,,HR,Fossil Brown coal/Lignite,n/e,
2023,,HR,Fossil Coal-derived gas,n/e,
2023,,HR,Fossil Gas,766,
2023,,HR,Fossil Hard coal,217,
2023,,HR,Fossil Oil,45,
2023,,HR,Fossil Oil shale,n/e,
2023,,HR,Fossil Peat,n/e,
2023,,HR,Geothermal,10,
2023,,HR,Hydro Pumped Storage,281,
2023,,HR,Hydro Run-of-river and pondage,428,
2023,,HR,Hydro Water Reservoir,1446,
2023,,HR,Marine,n/e,
2023,,HR,Nuclear,n/e,
2023,,HR,Other,n/e,
2023,,HR,Other renewable,83,
2023,,HR,Solar,140,
2023,,HR,Waste,6,
2023,,HR,Wind Offshore,n/e,
2023,,HR,Wind Onshore,981,
2023,,HR,,,4517
2024,,HR,Biomass,114,
2024,,HR,Energy storage,n/e,
2024,,HR,Fossil Brown coal/Lignite,n/e,
2024,,HR,Fossil Coal-derived gas,n/e,
2024,,HR,Fossil Gas,886,
2024,,HR,Fossil Hard coal,217,
2024,,HR,Fossil Oil,45,
2024,,HR,Fossil Oil shale,n/e,
2024,,HR,Fossil Peat,n/e,
2024,,HR,Geothermal,10,
2024,,HR,Hydro Pumped Storage,281,
2024,,HR,Hydro Run-of-river and pondage,428,
2024,,HR,Hydro Water Reservoir,1446,
2024,,HR,Marine,n/e,
2024,,HR,Nuclear,n/e,
2024,,HR,Other,n/e,
2024,,HR,Other renewable,95,
2024,,HR,Solar,292,
2024,,HR,Waste,6,
2024,,HR,Wind Offshore,n/e,
2024,,HR,Wind Onshore,1209,
2024,,HR,,,5029
2025,,HR,Biomass,114,
2025,,HR,Energy storage,n/e,
2025,,HR,Fossil Brown coal/Lignite,n/e,
2025,,HR,Fossil Coal-derived gas,n/e,
2025,,HR,Fossil Gas,798,
2025,,HR,Fossil Hard coal,217,
2025,,HR,Fossil Oil,45,
2025,,HR,Fossil Oil shale,n/e,
2025,,HR,Fossil Peat,n/e,
2025,,HR,Geothermal,10,
2025,,HR,Hydro Pumped Storage,281,
2025,,HR,Hydro Run-of-river and pondage,428,
2025,,HR,Hydro Water Reservoir,1446,
2025,,HR,Marine,n/e,
2025,,HR,Nuclear,n/e,
2025,,HR,Other,n/e,
2025,,HR,Other renewable,115,
2025,,HR,Solar,450,
2025,,HR,Waste,8,
2025,,HR,Wind Offshore,n/e,
2025,,HR,Wind Onshore,1240,
2025,,HR,,,5152
2023,,DE,Biomass,8466.8,
2023,,DE,Energy storage,n/e,
2023,,DE,Fossil Brown coal/Lignite,17692,
2023,,DE,Fossil Coal-derived gas,1257,
2023,,DE,Fossil Gas,31808,
2023,,DE,Fossil Hard coal,18559,
2023,,DE,Fossil Oil,4083,
2023,,DE,Fossil Oil shale,n/e,
2023,,DE,Fossil Peat,n/e,
2023,,DE,Geothermal,55.61,
2023,,DE,Hydro Pumped Storage,9379,
2023,,DE,Hydro Run-of-river and pondage,3715.25,
2023,,DE,Hydro Water Reservoir,1334,
2023,,DE,Marine,n/e,
2023,,DE,Nuclear,4056,
2023,,DE,Other,1706,
2023,,DE,Other renewable,384.15,
2023,,DE,Solar,63066.03,
2023,,DE,Waste,1912,
2023,,DE,Wind Offshore,8128.82,
2023,,DE,Wind Onshore,57589.55,
2023,,DE,,,233192.21
2024,,DE,Biomass,8576.54,
2024,,DE,Energy storage,n/e,
2024,,DE,Fossil Brown coal/Lignite,18365,
2024,,DE,Fossil Coal-derived gas,1257,
2024,,DE,Fossil Gas,36255,
2024,,DE,Fossil Hard coal,18411,
2024,,DE,Fossil Oil,4118,
2024,,DE,Fossil Oil shale,n/e,
2024,,DE,Fossil Peat,n/e,
2024,,DE,Geothermal,54,
2024,,DE,Hydro Pumped Storage,9449,
2024,,DE,Hydro Run-of-river and pondage,3730.8,
2024,,DE,Hydro Water Reservoir,1381,
2024,,DE,Marine,n/e,
2024,,DE,Nuclear,n/e,
2024,,DE,Other,1630,
2024,,DE,Other renewable,356.45,
2024,,DE,Solar,76600.56,
2024,,DE,Waste,1808,
2024,,DE,Wind Offshore,8456,
2024,,DE,Wind Onshore,59840.62,
2024,,DE,,,250288.97
2025,,DE,Biomass,8766,
2025,,DE,Energy storage,11009,
2025,,DE,Fossil Brown coal/Lignite,15178,
2025,,DE,Fossil Coal-derived gas,1915,
2025,,DE,Fossil Gas,36613.56,
2025,,DE,Fossil Hard coal,15951,
2025,,DE,Fossil Oil,6913.83,
2025,,DE,Fossil Oil shale,n/e,
2025,,DE,Fossil Peat,n/e,
2025,,DE,Geothermal,46,
2025,,DE,Hydro Pumped Storage,9383.8,
2025,,DE,Hydro Run-of-river and pondage,3901,
2025,,DE,Hydro Water Reservoir,1448.78,
2025,,DE,Marine,n/e,
2025,,DE,Nuclear,n/e,
2025,,DE,Other,2278.52,
2025,,DE,Other renewable,399.67,
2025,,DE,Solar,86407.58,
2025,,DE,Waste,1863,
